序号	类型	英文	中文释义	例句英文	例句中文	拓展
1	单词	day	一天，一日	What do you do every day?	你每天做什么？	
2	单词	get up	起床	Bobby, get up! It's seven o'clock.	博比，起床！七点了。	
3	单词	wash	洗	Wash your face first, Bobby.	博比，先洗脸。	
4	单词	face	脸，面孔	Wash your face first, Bobby.	博比，先洗脸。	
5	单词	have lessons	上课	We have lessons at school.	我们在学校上课。	
6	单词	have	吃，喝	It's time for breakfast.	该吃早餐了。	
7	单词	dinner	正餐（常指晚餐）	We have dinner in the evening.	我们晚上吃正餐。	
8	单词	breakfast	早餐，早饭	It's time for breakfast.	该吃早餐了。	
9	单词	lunch	午餐，午饭	We have lunch at twelve o'clock.	我们十二点吃午餐。	
10	单词	go to bed	上床睡觉	I go to bed at nine o'clock.	我九点上床睡觉。	
11	单词	o'clock	（表示整点）……点钟	It's seven o'clock.	七点了。	
12	单词	early	早的，早	It's early.	还早呢。	
13	单词	thirty	三十	It's seven thirty!	七点半了！	
14	单词	first	首先，第一	Wash your face first, Bobby.	博比，先洗脸。	
15	单词	hurry up	快点	Bobby, hurry up!	博比，快点！	
16	句子(短语)	What time is it?	几点了？	What time is it now?	现在几点了？	
17	句子(短语)	I'm coming!	我来了！	I'm coming!	我来了！	
18	单词	twenty	二十	It's twenty past seven.	七点二十分。	
19	句子(短语)	Come on!	赶快！加把劲！	Come on! Let's go!	快点！我们走吧！	
20	单词	class	课，上课	Welcome back to school, class.	欢迎回到学校，同学们。	
21	单词	eleven	十一	It's eleven o'clock.	十一点了。	
22	单词	sport	体育运动	Sport is good for us.	体育运动对我们有好处。	
23	单词	fifteen	十五	It's fifteen past eight.	八点十五分。	
24	单词	It's time to ...	到了……的时间了。	Get up now—it's time to go.	现在起床——该走了。	
25	单词	bed	床	Bobby is still in bed.	博比还在床上。	
26	句子(短语)	Good night!	晚安！	Good night, Mum!	晚安，妈妈！	
