序号	类型	英文	中文释义	例句英文	例句中文	拓展
1	单词	season	季节	What do you do in different seasons?	你在不同季节做什么？	
2	单词	spring	春天，春季	In spring, it is warm.	春天很温暖。	
3	单词	go boating	去划船	We go boating in spring.	春天我们去划船。	
4	单词	winter	冬天，冬季	It is cold in winter.	冬天很冷。	
5	单词	go skating	去溜冰，去滑冰	We go skating in winter.	冬天我们去滑冰。	*
6	单词	summer	夏天，夏季	In summer, we eat ice cream.	夏天我们吃冰激凌。	
7	单词	ice cream	冰激凌	In summer, we eat ice cream.	夏天我们吃冰激凌。	
8	单词	go swimming	去游泳	We go swimming in summer.	夏天我们去游泳。	
9	单词	autumn	秋天，秋季	In autumn, it is cool.	秋天很凉爽。	
10	单词	go climbing	去爬山	We go climbing in autumn.	秋天我们去爬山。	*
11	单词	new	新的	Spring is a new season.	春天是一个新的季节。	
12	单词	cold	寒冷的，冷的	It is cold in winter.	冬天很冷。	
13	单词	bird	鸟	The birds come back in spring.	鸟儿在春天回来。	
14	单词	back	回原处	The birds come back in spring.	鸟儿在春天回来。	
15	单词	in	在（某段时间）内	In spring, we plant trees.	春天我们种树。	
16	单词	year	年	There are four seasons in a year.	一年有四个季节。	
17	单词	plant	栽种，种植	In spring, we plant trees.	春天我们种树。	
18	单词	pick	采，摘	In autumn, we pick fruit.	秋天我们摘果子。	*
19	单词	snow	雪，积雪	It snows in winter.	冬天下雪。	
