序号	类型	英文	中文释义	例句英文	例句中文	拓展
1	单词	week	周，星期	How do you plan your week?	你怎么制订一周计划？	
2	单词	Monday	星期一	I have a dancing lesson on Monday.	我星期一有舞蹈课。	
3	单词	Tuesday	星期二	We go to the cinema on Tuesday.	我们星期二去电影院。	
4	单词	Wednesday	星期三	What do you want to do on Wednesday?	你星期三想做什么？	
5	单词	Thursday	星期四	I walk my dog on Thursday.	我星期四遛狗。	
6	单词	Friday	星期五	It's Friday today.	今天是星期五。	
7	单词	Saturday	星期六	I am free on Saturday.	我星期六有空。	
8	单词	Sunday	星期天	We fly a kite on Sunday.	我们星期天放风筝。	
9	单词	when	什么时候	When do you go to the cinema?	你什么时候去电影院？	
10	单词	every	每一个，每个	What do you do every day?	你每天做什么？	
11	单词	at	在（某时间）	I go to bed at nine o'clock.	我九点上床睡觉。	
12	单词	up	起床	Get up now—it's time to go.	现在起床——该走了。	
13	单词	early	提早，提前	I want to go to school early.	我想早点去学校。	
14	单词	today	在今天	What day is it today?	今天星期几？	
15	句子(短语)	What day is it today?	今天星期几？	What day is it today?	今天星期几？	
16	单词	cinema	电影院	Let's go to the cinema after school.	放学后我们去看电影吧。	
17	单词	after school	放学后	I walk my dog after school.	我放学后遛狗。	
18	单词	dancing	跳舞，舞蹈	I have a dancing lesson on Monday.	我星期一有舞蹈课。	
19	单词	lesson	一节课，一课时	I have a dancing lesson on Monday.	我星期一有舞蹈课。	
20	单词	walk	牵着（动物）走，遛	I walk my dog after school.	我放学后遛狗。	
21	单词	dog	狗	I walk my dog after school.	我放学后遛狗。	
22	单词	tomorrow	明天；在明天	See you tomorrow!	明天见！	
23	单词	free	空闲的	I am free tomorrow.	我明天有空。	
24	句子(短语)	See you tomorrow!	明天见！	See you tomorrow!	明天见！	
