序号	类型	英文	中文释义	例句英文	例句中文	拓展
1	单词	play	打（球），踢（球）	Let's go and play.	我们去玩吧。	
2	单词	football	足球运动；足球	Do you like playing football?	你喜欢踢足球吗？	
3	单词	ping-pong	乒乓球运动	Ping-pong is fun.	乒乓球很有趣。	
4	单词	basketball	篮球运动；篮球	I like playing basketball.	我喜欢打篮球。	
5	单词	great	非常的	You play so well!	你打得真好！	
6	单词	swimming	游泳；游泳运动	I like swimming and playing ping-pong.	我喜欢游泳和打乒乓球。	
7	单词	so	（表示程度）这么，那么	You play so well!	你打得真好！	
8	单词	well	好	You play so well!	你打得真好！	
9	句子(短语)	Have a go!	试一试！	Have a go!	试一试！	
10	单词	hard	难做的，不易的	Ping-pong is fun, but I can't play well.	乒乓球很有趣，但我打得不好。	
11	单词	It's OK.	没关系。	It's OK. Try again.	没关系，再试一次。	
12	单词	try	试	It's OK. Try again.	没关系，再试一次。	
13	句子(短语)	Well played!	好球！	Well played!	好球！	
